Casing_pressure,Tubing_pressure,Gas_production,Water_production,Water_gas_ratio,PI
4.76,3.75,4.3,4,0.93,0
5.62,3.85,2.37,2,0.84,0
5.81,3.7,1.62,2,1.23,0
6.23,3.77,0.99,1,1.01,0
6.41,3.87,0.95,1,1.05,0
4.76,4,4.87,6,1.23,0
4.53,3.86,4.02,4,1,0
4.75,4.31,4.03,4,0.99,0
5.61,4.17,1.03,1,0.97,0
5.45,5.46,3.26,3,0.92,1
4.85,4.4,4.17,4,0.96,0
4.07,3.31,4.59,4,0.87,0
3.99,3.26,4.99,4,0.8,0
3.94,3.21,5.11,4,0.78,0
4.48,3.78,5.03,4,0.8,0
5.28,3.46,3.96,4,1.01,0
4.18,3.36,6.23,5,0.8,0
4.27,3.6,5.84,5,0.86,0
4.31,3.71,5.39,5,0.93,0
4.79,4.39,5.4,5,0.93,0
5.29,3.52,1.89,2,1.06,0
5.78,4.32,1.28,1,0.78,0
5.33,3.85,0.52,1,1.92,0
4.26,3.58,5.4,5,0.93,0
5.16,4.48,4.93,4,0.81,0
4.98,3.67,2.35,3,1.28,1
4.19,3.62,2.86,3,1.05,0
5.02,3.96,2.86,2,0.7,0
5.51,3.32,3.86,3,0.78,0
5.86,3.21,4,3,0.75,0
6.08,3.23,4.62,2,0.43,0
6.25,3.19,4,2,0.5,0
6.38,3.13,4.06,2,0.49,0
6.48,3.11,4.12,2,0.49,0
6.55,3.2,4.13,2,0.48,0
6.61,3.18,4.19,2,0.48,0
6.71,3.16,4.05,2,0.49,0
6.75,3.18,3.84,2,0.52,0
6.78,3.19,3.9,2,0.51,0
4.41,3.45,4.67,6,1.28,0
4.81,4.41,3.93,2,0.51,0
4.09,3.23,4.01,2,0.5,0
5.1,4.8,3.6,2,0.56,0
5,3.12,3.52,2,0.57,0
4,3.32,4.04,2,0.5,0
3.46,3.29,4.04,2,0.5,0
3.89,3.2,4,2,0.5,0
3.77,3.04,4,2,0.5,0
3.92,3.31,4.46,2,0.45,0
3.86,3.24,4,2,0.5,0
3.84,3.22,3.9,2,0.51,0
3.81,3.19,4,2,0.5,0
3.77,3.15,5.7,2,0.35,0
3.77,3.15,5.22,2,0.38,0
3.72,3.15,5.82,2,0.34,0
3.72,3.17,5.43,3,0.55,0
3.7,3.08,5.3,2,0.38,0
3.74,3.12,4.05,3,0.74,0
3.68,3.06,4.14,4,0.97,0
3.67,3.05,4.19,4,0.95,0
3.69,3.17,4.2,4,0.95,0
3.63,3.01,4.29,4,0.93,0
3.8,3.36,4.32,4,0.93,0
3.72,3.13,4.25,4,0.94,6
3.92,3.24,5.94,4,0.67,0
4.63,4.18,5.02,4,0.8,0
4.65,4.28,4.13,4,0.97,0
4.83,3.27,3.5,3,0.86,0
5.31,3.01,2.56,1,0.39,0
5.4,3.22,2.06,1,0.49,0
5.68,3.15,1.98,1,0.5,0
4,3.25,3.93,3,0.76,0
3.87,3.18,4.53,4,0.88,0
3.78,3.1,4.76,4,0.84,0
3.73,3.06,4.4,4,0.91,0
3.68,3.03,4.56,4,0.88,0
3.88,3.31,3.69,3,0.81,0
3.83,3.23,4.52,4,0.89,0
3.71,3.09,4.18,4,0.96,0
4.21,3.5,4.33,4,0.92,0
4.76,2.75,4.24,3,0.71,0
5.19,2.58,4.06,3,0.74,0
5.46,2.68,4.83,3,0.62,0
5.64,2.6,4.28,3,0.7,0
5.7,2.55,4.51,3,0.67,0
3.77,2.91,5.06,5,0.99,0
3.59,2.79,4.28,3,0.7,0
3.47,2.67,4.49,2,0.45,0
3.41,2.65,3.98,2,0.5,0
3.35,2.62,3.95,2,0.51,0
3.31,2.56,3.81,2,0.52,0
3.74,3.17,6,3,0.5,0
3.68,3.21,5,3,0.6,0
3.64,3.2,6,3,0.5,0
3.62,3.17,6,3,0.5,0
3.66,3.18,6,3,0.5,0
3.73,3.22,6,3,0.5,0
3.68,3.18,5,3,0.6,0
3.62,3.19,5,2,0.4,0
3.19,3.09,4,2,0.5,0
3.57,3.09,4,2,0.5,0
3.53,3.07,5,2,0.4,0
3.51,3.04,5,2,0.4,0
3.51,3.07,5,2,0.4,0
3.59,2.96,4,2,0.5,0
3.93,3.08,5,2,0.4,0
4.6,3.04,4,2,0.5,0
3.56,3.02,5.52,4,0.72,0
3.48,2.9,4,2,0.5,0
3.56,2.98,5,2,0.4,0
3.54,2.94,5,2,0.4,0
3.46,3.01,5,2,0.4,0
3.41,2.83,4.34,3,0.69,0
3.41,2.83,4.48,3,0.67,0
3.44,2.88,4.03,3,0.75,0
3.47,3.02,4.83,3,0.62,0
3.37,2.81,4.5,3,0.67,0
3.32,2.74,4.36,3,0.69,0
3.28,2.71,4.83,3,0.62,0
3.38,2.82,4.63,3,0.65,0
3.31,2.76,4.63,3,0.65,0
3.32,2.77,4.61,3,0.65,0
3.28,2.73,4.63,3,0.65,0
3.31,2.77,4.56,3,0.66,0
3.59,2.88,4.03,3,0.74,0
3.21,2.64,4.64,3,0.65,0
3.26,2.7,4.5,3,0.67,0
3.91,3.25,3.21,2,0.62,0
3.37,2.82,4.63,3,0.65,0
3.29,2.75,4.43,3,0.68,0
3.24,2.71,4.59,3,0.65,0
3.23,2.7,4.51,3,0.67,0
3.22,2.72,4.51,3,0.66,0
3.2,2.67,4.44,3,0.68,0
3.23,2.68,4.37,3,0.69,0
3.15,2.58,4.33,3,0.69,0
3.16,2.62,5.39,3,0.56,0
3.24,2.69,4.26,3,0.7,0
3.23,2.67,5.25,3,0.57,0
3.18,2.64,4.26,3,0.7,0
3.22,2.67,4.69,3,0.64,0
3.21,2.75,4,3,0.75,0
3.16,2.65,4,3,0.75,0
3.13,2.61,4.5,3,0.67,0
3.12,2.6,4.5,3,0.67,0
3.17,2.6,4.5,3,0.67,0
3.11,2.58,4.5,3,0.67,0
3.05,2.52,4,3,0.75,0
3.03,2.5,3.6,3,0.83,0
3.32,2.61,3.48,3,0.86,0
3.14,2.6,4,3,0.75,0
3.13,2.58,4,3,0.75,0
3.09,2.55,4,3,0.75,0
3.04,2.53,4,3,0.75,0
3.08,2.56,4.5,3,0.67,0
2.93,2.39,4.5,3,0.67,0
3,2.56,4.5,3,0.67,0
2.95,2.43,4.6,3,0.65,0
3.04,2.5,3.2,3,0.94,0
3.09,2.52,4.2,3,0.71,0
3.01,2.48,4.3,3,0.7,0
3.04,2.51,4.4,3,0.68,0
2.99,2.47,4.3,3,0.7,0
3.01,2.47,4,3,0.75,0
2.87,2.32,3.3,3,0.91,0
2.91,2.39,3.4,3,0.88,0
2.85,2.31,3.4,3,0.88,0
2.87,2.36,4.14,3,0.72,0
2.8,2.28,4.82,2,0.41,0
2.86,2.35,4.26,2,0.47,0
2.8,2.26,4.67,2,0.43,0
2.85,2.33,4.17,2,0.48,0
2.86,2.34,3.54,2,0.56,0
2.94,2.44,4.21,3,0.71,0
2.9,2.39,4.2,2,0.48,0
2.89,2.38,4.8,2,0.42,0
2.88,2.36,4.71,2,0.42,0
2.95,2.36,5,2,0.4,0
2.88,2.37,4.1,2,0.49,0
2.86,2.35,4.15,2,0.48,0
2.82,2.28,3.85,1,0.26,0
2.78,2.25,3.8,1,0.26,0
2.74,2.2,3.61,1,0.28,0
2.76,2.21,2.92,1,0.34,0
3.41,2.39,3.9,1,0.26,0
3.88,2.25,4.2,1,0.24,0
3.05,2.34,4.09,1,0.24,0
3.2,2.45,3.84,1,0.26,0
3.13,2.42,4.82,1,0.21,0
3.11,2.44,4.21,2,0.47,0
3.16,2.4,4.23,2,0.47,0
3.55,2.3,4.15,2,0.48,0
3.83,2.1,3.43,2,0.58,0
4.1,2.15,2.32,1,0.43,0
4.21,2.02,2.47,1,0.41,0
4.32,2.12,2.05,1,0.49,0
4.47,1.96,2.17,1,0.46,0
4.61,2.08,2,1,0.5,0
4.72,2.03,2,1,0.5,0
2.96,2.12,3.47,4,1.15,0
2.77,2.04,3.5,2,0.57,0
2.92,2.45,3,2,0.67,0
2.96,2.45,4.68,2,0.43,0
2.95,2.45,4.01,1,0.25,0
2.8,2.22,3.74,1,0.27,0
2.67,2.06,3.08,1,0.32,0
2.9,2.42,3.58,1,0.28,0
2.92,2.42,4.04,1,0.25,0
2.84,2.33,4.06,1,0.25,0
2.86,2.38,4.15,1,0.24,0
2.83,2.34,4.61,1,0.22,0
2.88,2.34,3.89,1,0.26,0
2.88,2.38,3.9,1,0.26,0
3.06,2.37,3.61,1,0.28,0
3.51,2.15,3.5,1,0.29,0
2.87,2.37,3.45,3,0.87,0
2.71,2.15,3.23,1,0.31,0
2.81,2.31,4.15,2,0.48,0
2.69,2.14,4.25,1,0.24,0
2.99,2.33,3.27,1,0.31,0
3.5,2.15,3.09,1,0.32,0
2.72,2.2,4.1,3,0.73,0
3.02,2.31,3.42,1,0.29,0
3.46,2.16,2.91,1,0.34,0
2.73,2.21,3.85,3,0.78,0
2.66,2.11,3.86,1,0.26,0
3.01,2.27,3.58,1,0.28,0
3.52,2.16,3.6,3,0.83,0
2.67,2.1,3.23,1,0.31,0
2.67,2,3.8,2,0.53,0
2.67,2.16,4.63,1,0.22,0
3.65,1.98,3.33,4,1.2,0
2.35,1.68,3.1,1,0.32,0
2.73,1.85,2.8,1,0.36,0
2.42,1.83,2.65,1,0.38,0
2.46,1.94,3.1,1,0.32,0
2.4,1.85,2.8,1,0.36,0
2.38,1.82,2.3,1,0.43,0
2.37,1.82,2.21,1,0.45,0
2.33,1.78,2.36,1,0.42,0
2.24,1.64,3.34,1,0.3,0
2.34,1.8,3.07,2,0.65,0
3.15,2.17,4.46,1,0.22,0
3.64,3.03,4.44,1,0.23,0
3.83,2.13,1.9,3,1.58,0
2.86,2.44,4.73,1,0.21,0
3.66,3.7,4.5,1,0.22,0
3.84,3.45,3.61,1,0.28,0
4.02,3.2,3.25,0,0.15,12
2.73,1.86,5.21,2,0.38,0
2.62,1.82,4.82,1,0.21,0
2.54,1.76,4.6,1,0.22,0
2.96,2.5,4.95,1,0.2,0
2.91,2.44,4.36,1,0.23,0
3.36,3.38,4.83,1,0.21,0
3.04,2.61,2,1,0.5,0
2.84,2.31,4.18,1,0.24,0
2.84,2.34,4.25,1,0.24,0
2.82,2.34,4.17,1,0.24,0
2.76,2.27,4.16,1,0.24,0
2.76,2.26,4.04,1,0.25,0
2.69,2.18,3.89,1,0.26,0
2.7,2.22,4.07,1,0.25,0
2.66,2.17,4.08,1,0.25,0
2.63,2.15,4.12,1,0.24,0
2.72,2.17,3.74,1,0.27,0
3.33,2.27,3.5,1,0.29,0
2.68,2.18,4.01,3,0.75,0
2.78,2.14,3.28,1,0.31,0
2.67,2.27,3.84,1,0.26,0
2.73,2.32,3.16,1,0.32,0
2.57,2.07,3.5,1,0.29,0
2.6,2.14,3.92,1,0.26,0
2.58,2.1,3.85,1,0.26,0
2.53,2.05,3.9,1,0.26,0
2.48,1.97,3.47,1,0.29,0
2.47,1.96,3.29,1,0.3,0
2.51,2.04,3.61,1,0.28,0
2.49,2.02,4.5,1,0.22,0
2.41,1.85,3.39,1,0.29,0
3.19,2.24,3.35,1,0.3,0
3.15,2.02,3.82,1,0.26,0
3.79,1.95,2.28,1,0.44,0
3.8,1.89,2.05,1,0.49,0
3.92,1.8,2.5,1,0.4,0
4.21,1.98,2.53,1,0.39,0
2.82,2.4,3.33,1,0.3,0
2.17,1.96,3.4,1,0.29,0
2.51,1.92,2.31,1,0.43,0
2.7,2.27,2.1,1,0.48,0
2.94,2.22,2.1,1,0.48,0
3.46,2.09,2,1,0.5,0
3.75,2,1.5,1,0.67,0
3.97,1.92,1.5,1,0.67,0
4.12,1.86,1.8,1,0.56,0
4.3,1.83,1.2,1,0.83,0
4.36,1.41,0.89,1,1.12,2
2.94,2.04,3.67,3,0.82,0
2.94,2.37,2.9,2,0.69,0
2.55,1.83,3.3,1,0.3,0
2.71,2.11,3.76,2,0.53,0
3.59,2.58,4.39,2,0.46,0
3.91,2.52,4.06,2,0.49,0
4.13,2.43,3.96,2,0.51,0
4.3,2.5,3.84,2,0.52,0
4.42,2.6,3.24,1,0.31,0
4.46,1.96,3.71,2,0.54,0
4.58,2.6,2.08,1,0.48,0
4.65,2.24,2,1,0.5,0
4.64,2.51,2,0,0.25,0
4.84,3.06,0.95,0,0.53,0
4.9,2.98,2.6,0,0.19,0
4.94,2.46,2,0,0.25,0
4.95,2.34,2,0,0.25,0
3.34,2.54,5.55,2,0.36,0
3.15,2.41,5.71,2,0.44,0
3.01,2.35,5.15,2,0.39,0
2.97,2.42,4.61,2,0.33,0
2.91,2.37,5.05,1,0.2,0
2.87,2.27,4.98,1,0.2,0
3.67,2.79,3.22,1,0.31,0
2.83,2.23,1.5,2,1,0
3.36,2.63,3.72,2,0.4,0
3.74,2.07,2.15,1,0.47,0
4.05,1.89,0.97,1,1.03,3
4.59,1.83,0.95,0,0.53,0
4.64,1.77,0.64,0,0,0
3.25,2.65,4.41,6,1.36,0
3.65,2.85,3.85,2,0.39,0
4.03,2.66,3.56,1,0.28,0
4.34,2.57,3.35,1,0.3,0
4.46,2.43,3.24,1,0.31,0
4.57,2.41,3.12,1,0.32,0
4.67,2.36,2.98,1,0.34,0
4.77,2.3,2.65,1,0.38,0
3.14,2.47,5.13,8,1.56,0
2.94,2.34,5.25,3,0.57,0
3.4,2.72,4.71,2,0.42,0
3.86,2.5,4.56,2,0.44,0
4.1,2.27,3.62,2,0.55,0
2.95,2.34,4.65,8,1.72,0
2.84,2.27,4.49,2,0.45,0
2.83,2.32,3.58,3,0.84,0
2.86,2.37,4.19,2,0.48,0
2.81,2.32,4.16,2,0.48,0
2.79,2.28,3.79,2,0.53,0
2.85,2.34,3.89,2,0.51,0
3.08,2.46,3.87,2,0.52,0
3.9,2.33,3.78,2,0.53,0
3.94,2.24,2.92,2,0.69,0
2.83,2.31,3.57,9,2.52,0
2.79,2.3,4.22,2,0.47,0
2.79,2.38,3.94,2,0.51,0
2.79,2.24,3.76,2,0.53,0
2.75,2.23,2.51,2,0.8,0
2.67,2.18,4.06,2,0.49,0
2.64,2.15,3.83,2,0.52,0
2.71,2.2,3.76,2,0.53,0
3.01,2.15,3.29,2,0.61,0
3.51,1.95,1.94,2,1.03,0
3.8,1.81,1.08,2,1.85,0
4.01,1.84,1.76,2,1.13,0
4.17,1.96,2.15,1,0.46,0
4.3,1.93,2.1,1,0.48,0
4.39,1.82,2.2,2,0.91,0
4.48,1.78,2.51,1,0.4,0
4.55,1.7,3.2,2,0.63,0
4.63,1.79,3.5,2,0.57,0
4.66,1.85,2,1,0.5,0
4.75,2.03,1.5,1,0.67,0
4.12,3.16,2.95,4,1.36,0
3.3,2.81,5.6,3,0.54,1
3.25,2.73,4.22,4,0.95,0
3.1,2.64,4.33,4,0.92,0
3.07,2.59,3.96,4,1.01,0
3.04,2.49,3.75,4,1.07,0
3.29,2.5,5.26,2,0.38,3
3.09,2.51,4.7,10,2.13,0
2.77,2.15,4.97,4,0.8,0
2.67,2.02,4.64,3,0.65,0
2.97,2.54,3.33,2,0.6,8
4.7,3.53,3.26,1,0.306748466,0
4.68,2.73,3.2,1,0.31,0
4.68,2.09,1.81,6,3.31,0
3.23,2.53,5.44,6,1.1,0
2.88,2.27,5.2414,5,0.95,0
2.78,2.18,4.9475,6,1.21,0
2.7,2.1,4.592,6,1.31,0
2.63,2.04,4.6621,4,0.86,0
2.61,2.07,4.4535,4,0.9,0
2.56,2.01,4.4302,4,0.9,0
2.52,1.98,4.3597,4,0.92,0
2.49,1.93,4.2923,4,0.93,0
2.49,1.93,4.0163,4,1,0
9,6.2,24,2,0.08,0
8.9,5.9,20.84,2,0.1,0
8.9,5.8,19.31,3,0.16,0
8.7,5.7,18.34,3,0.16,0
5.1,5.7,17.88,4,0.22,0
8.7,5.7,17.74,4,0.23,0
8.4,5.7,17.58,4,0.23,0
8.1,5.5,17.16,4,0.23,0
7.74,5.38,16.94,4,0.24,0
7.91,5.75,11.64,3,0.26,0
7.8,5.6,14.88,4,0.27,0
7.93,6.59,14.3,4,0.28,0
7.99,6.83,12.7,3,0.24,0
7.91,6.37,12.94,3,0.23,0
7.65,5.63,15.63,4,0.26,0
7.7,6.12,13.41,4,0.3,0
7.81,6.62,12.03,4,0.33,0
7.8,6.6,10.24,4,0.39,0
7.84,6.84,11.87,4,0.34,0
7.64,6.12,13.6,4,0.29,0
7.62,6.1,13.46,4,0.3,0
7.56,6.02,13.19,4,0.3,0
7.85,7.03,10.34,4,0.39,0
7.45,5.45,13.7,4,0.29,0
7.41,5.75,14.09,4,0.28,0
7.36,5.68,13.69,4,0.29,0
7.33,5.77,13.54,4,0.3,0
7.28,5.67,13.4,4,0.3,0
7.23,5.57,13.4,4,0.3,0
7.2,5.58,13.38,3,0.22,0
7.15,5.53,13.4,4,0.3,0
7.11,5.49,13.22,4,0.3,0
7.09,5.49,13.07,5,0.38,0
7.07,5.05,12.88,5,0.39,0
7.02,5.42,12.99,4,0.31,0
7.05,5.65,12.41,4,0.32,0
7.01,5.51,12.41,4,0.32,0
6.98,5.48,12.48,4,0.32,0
6.95,5.44,12.48,4,0.32,0
6.93,5.44,12.45,4,0.32,0
6.9,5.36,12.45,4,0.32,0
6.9,5.51,12.28,3,0.24,0
6.89,5.49,12.03,3,0.25,0
6.85,5.43,12.27,3,0.24,0
6.83,5.38,12.2,4,0.33,0
6.81,5.4,12.05,4,0.33,0
6.81,5.45,11.63,4,0.34,0
6.78,5.36,11.9,4,0.34,0
6.77,5.36,11.69,4,0.34,0
6.72,5.22,11.95,4,0.33,0
6.69,5.23,12.15,4,0.33,0
6.68,5.24,11.91,4,0.34,0
6.65,5.16,12.03,4,0.33,0
6.64,5.21,12.05,4,0.33,0
6.61,5.23,11.98,3,0.25,0
6.64,5.34,11.12,3,0.27,0
6.56,5,11.66,3,0.26,0
5.29,5.27,11.25,3,0.27,0
6.57,5.18,11.42,3,0.26,0
6.55,5.16,11.42,4,0.35,0
6.53,5.14,11.33,4,0.35,0
6.47,4.98,11.78,4,0.34,0
6.47,5.05,11.5,5,0.43,0
6.47,5.4,11.38,5,0.44,0
6.53,5.18,11.59,5,0.43,0
6.41,5.04,11.61,5,0.43,0
6.39,4.97,11.43,5,0.44,0
6.35,4.77,11.55,5,0.43,0
6.29,4.78,10.91,4,0.37,0
6.32,5.01,9.11,4,0.44,0
6.33,5.04,8.07,3,0.37,0
6.31,4.96,8.45,2,0.24,0
6.28,4.9,10,2,0.2,0
6.27,4.9,9.1,3,0.33,0
6.24,4.85,9.08,3,0.33,0
6.24,4.93,10,2,0.2,0
6.3,5.18,10.34,4,0.39,0
6.29,5.16,10.33,4,0.39,0
6.27,5.08,10.38,3,0.29,0
6.26,5.04,10.42,4,0.38,0
6.27,5.11,10.25,3,0.29,0
6.3,5.23,9.78,3,0.31,0
6.32,5.3,9.92,4,0.4,0
6.29,5.16,9.92,4,0.4,0
6.26,5.12,10.33,3,0.29,0
6.62,5.12,10.16,4,0.39,0
6.24,5.09,10.22,3,0.29,0
6.2,4.99,10.55,4,0.38,0
6.17,4.93,10.71,4,0.37,0
6.17,4.95,10.36,3,0.29,0
6.21,5.15,9.88,3,0.3,0
6.2,5.11,9.85,3,0.3,0
6.18,5,9.9,3,0.3,0
